dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_06_1655,49,417987563,5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,New York,US,17514,17.51,fr2,mid,no
dataset_2026_05_06_1655,50,417987569,,(no data),,,18984,18.98,fr2,unknown,no
dataset_2026_05_06_1655,51,417987575,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,(no name),Amsterdam,NL,459750,459.75,tyo,fr2,no
dataset_2026_05_06_1655,52,417987581,2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,Astraeus,Amsterdam,NL,18009,18.01,fr2,fr2,yes
dataset_2026_05_06_1655,53,417987587,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,17695,17.70,fr2,fr2,yes
dataset_2026_05_06_1655,54,417987593,PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,Asia/Singapore,SG,460676,460.68,tyo,tyo,yes
dataset_2026_05_06_1655,55,417987599,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,(no name),Frankfurt am Main,DE,458416,458.42,tyo,fr2,no
dataset_2026_05_06_1655,56,417987606,ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,Anagram Staking,Aubervilliers,FR,16695,16.70,fr2,fr2,yes
dataset_2026_05_06_1655,57,417987611,aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,Axiom,Frankfurt am Main,DE,16278,16.28,fr2,fr2,yes
dataset_2026_05_06_1655,58,417987617,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,America/Chicago,US,16771,16.77,fr2,mid,no
dataset_2026_05_06_1655,59,417987622,,(no data),,,22662,22.66,fr2,unknown,no
dataset_2026_05_06_1655,60,417987628,MargusJeV9bkePFLWbbzRNsMVo3Re6h9wKB5Ago8Tfj,(no data),,,16909,16.91,fr2,unknown,no
dataset_2026_05_06_1655,61,417987634,FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,(no name),Stockholm,SE,16984,16.98,fr2,fr2,yes
dataset_2026_05_06_1655,62,417987640,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,(no name),City of London,GB,16176,16.18,fr2,fr2,yes
dataset_2026_05_06_1655,63,417987646,8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,(no data),,,19553,19.55,fr2,unknown,no
dataset_2026_05_06_1655,64,417987652,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,Alchemy,be101.rbx-g4-nc5.fr.eu,,18321,18.32,fr2,unknown,no
dataset_2026_05_06_1655,65,417987658,sTepQGoReJq2tBKStL19DT6nnGHcGiAvFjyYaokLyuM,Step Finance,Singapore,SG,459450,459.45,tyo,tyo,yes
dataset_2026_05_06_1655,66,417987665,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,Solana Compass 🧭 Solana For The People,Minamishinagawa,JP,459144,459.14,tyo,tyo,yes
dataset_2026_05_06_1655,67,417987672,H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,(no name),Amsterdam,NL,18744,18.74,fr2,fr2,yes
dataset_2026_05_06_1655,68,417987677,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,17146,17.15,fr2,unknown,no
dataset_2026_05_06_1655,69,417987682,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,(no data),,,18559,18.56,fr2,unknown,no
dataset_2026_05_06_1655,70,417987688,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,193651,193.65,mid,unknown,no
dataset_2026_05_06_1655,71,417987694,peNgUgnzs1jGogUPW8SThXMvzNpzKSNf3om78xVPAYx,(no data),,,18817,18.82,fr2,unknown,no
dataset_2026_05_06_1655,72,417987700,D1Vbgkrhp1TmLGhfUD1urRMx5Ntz9AqQpgdX8DR8QMC1,Next Finance Tech,Tokyo,JP,461279,461.28,tyo,tyo,yes
dataset_2026_05_06_1655,73,417987707,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,(no name),Tokyo,JP,18369,18.37,fr2,tyo,no
dataset_2026_05_06_1655,74,417987713,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,198461,198.46,mid,mid,yes
dataset_2026_05_06_1655,75,417987718,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,18148,18.15,fr2,fr2,yes
dataset_2026_05_06_1655,76,417987724,,(no data),,,18202,18.20,fr2,unknown,no
dataset_2026_05_06_1655,77,417987730,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,America/Chicago,US,191148,191.15,mid,mid,yes
dataset_2026_05_06_1655,78,417987735,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,18646,18.65,fr2,unknown,no
dataset_2026_05_06_1655,79,417987741,AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN,MeshMap,Amsterdam,NL,18769,18.77,fr2,fr2,yes
