dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_06_1655,10,417987336,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,18593,18.59,fr2,mid,no
dataset_2026_05_06_1655,11,417987342,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,458882,458.88,tyo,fr2,no
dataset_2026_05_06_1655,12,417987348,Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,Leapfrog Systems 💎 No Fees,Stepney,GB,18559,18.56,fr2,fr2,yes
dataset_2026_05_06_1655,13,417987354,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,458492,458.49,tyo,fr2,no
dataset_2026_05_06_1655,14,417987361,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,(no name),Frankfurt am Main,DE,549652,549.65,tyo,fr2,no
dataset_2026_05_06_1655,15,417987367,rsbp8zMHbGCpLoRktmsjspYv77VcjxAzH1KxPCD9BiU,Albert is Great,Amsterdam,NL,18703,18.70,fr2,fr2,yes
dataset_2026_05_06_1655,16,417987373,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,Europe/London,GB,17991,17.99,fr2,fr2,yes
dataset_2026_05_06_1655,17,417987378,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,190470,190.47,mid,unknown,no
dataset_2026_05_06_1655,18,417987384,BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,(no name),Amsterdam,NL,19904,19.90,fr2,fr2,yes
dataset_2026_05_06_1655,19,417987390,57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,[Public Good] Chive 🌱 - 0% Fee + MEV + BlockReward,Chicago,US,189658,189.66,mid,mid,yes
dataset_2026_05_06_1655,20,417987396,EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,(no name),Amsterdam,NL,16351,16.35,fr2,fr2,yes
dataset_2026_05_06_1655,21,417987401,hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,(no data),,,191846,191.85,mid,unknown,no
dataset_2026_05_06_1655,22,417987407,ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,Anagram Staking,Aubervilliers,FR,18566,18.57,fr2,fr2,yes
dataset_2026_05_06_1655,23,417987412,THE1CosYJD9F1eBq53Fg4MZYZa5WrPUf2RQU5ZHnfEj,Theia,Rödelheim,DE,428559,428.56,tyo,fr2,no
dataset_2026_05_06_1655,24,417987418,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Frankfurt am Main,DE,17826,17.83,fr2,fr2,yes
